model_family,model_key,representative_label,constraint_left,constraint_right,pressure_pearson_aligned,pressure_spearman_aligned,pressure_rmse_aligned_pa,pressure_mae_aligned_pa
gnn,q_10__k_10__delta_0p1,B1,equal_av,equal_drop,0.9709682515599725,0.9757396874815777,0.6239339751666573,0.5645507506580534
gnn,q_10__k_10__delta_0p1,B1,equal_av,fixed_drop_10pa,0.9780509307444976,0.9701569568975213,1.79264206072064,1.5688809123686223
gnn,q_10__k_10__delta_0p1,B1,equal_av,gauge_only,0.9850392706585522,0.9869281453853481,0.4433312275423278,0.4012542072299376
gnn,q_10__k_10__delta_0p1,B1,equal_drop,fixed_drop_10pa,0.9584063627257425,0.9671013474609934,2.2490245197502277,2.0504746496949684
gnn,q_10__k_10__delta_0p1,B1,equal_drop,gauge_only,0.9968073850414948,0.9971749466078044,0.19983948576578664,0.17595465194208468
gnn,q_10__k_10__delta_0p1,B1,fixed_drop_10pa,gauge_only,0.9728010641740304,0.976761954557262,2.0904901374398075,1.8946609034615849
poiseuille_baseline,10.0|10.0,,equal_av,equal_drop,0.9655834990400562,0.9695153873764398,0.7959702887618622,0.7152181483055435
poiseuille_baseline,10.0|10.0,,equal_av,fixed_drop_10pa,0.9187363410600821,0.8974781593696296,2.6642946611396057,2.3593273029916126
poiseuille_baseline,10.0|10.0,,equal_av,gauge_only,0.9554043778732759,0.96662957374095,1.0096084810350212,0.918150709177364
poiseuille_baseline,10.0|10.0,,equal_drop,fixed_drop_10pa,0.9097885172740022,0.9130709738147083,3.301169763439761,3.064140295541849
poiseuille_baseline,10.0|10.0,,equal_drop,gauge_only,0.9963424730683876,0.9953097991464426,0.24554725343328748,0.2133213821694245
poiseuille_baseline,10.0|10.0,,fixed_drop_10pa,gauge_only,0.8745940776959978,0.8788504122409772,3.5338837278115527,3.2774616604830693
