graph_path,b1_run_dir,b1_artifact_mode,model_name,model_label,harmonic_number,f0_hz,omega0_rad_s,omega_n_rad_s,D0,alpha,viscosity_pa_s,boundary_amplitude_scale,arterial_boundary_mode,venous_boundary_mode,pressure_solver_mode,lambda_q,lambda_k,lambda_b,use_observed_flow_snr_weighting,lstsq_backend,n_nodes,n_edges,boundary_mapping_count_total,boundary_mapping_count_active,arterial_boundary_count_total,arterial_boundary_count_active,phase_constraint_node_count,snr_weight_p10,snr_weight_p05_clip,snr_weight_p95_clip,snr_weight_median_clipped,complex_flow_rmse_nl_s,flow_amplitude_rmse_nl_s,flow_phase_rmse_deg,phase_eval_edge_count,phase_eval_amplitude_threshold_nl_s,kirchhoff_rms_per_internal_node_nl_s,common_arterial_pressure_phase_residual_deg,arterial_pressure_amplitude_difference_pa,arterial_pressure_phase_difference_deg,arterial_pressure_amplitude_min_pa,arterial_pressure_amplitude_max_pa,arterial_pressure_amplitude_mean_pa,global_pressure_amplitude_max_pa,pressure_amplitude_min_pa,pressure_amplitude_max_pa,pressure_amplitude_range_pa,pressure_phase_min_deg,pressure_phase_max_deg,pressure_phase_range_deg,harmonic_matrix_full_rank,harmonic_matrix_rank,harmonic_matrix_condition_number,harmonic_matrix_ones_residual_norm,gauge_applied,gauge_reason,direct_system_residual_norm,max_abs_kirchhoff_residual_m3_s,rms_kirchhoff_residual_m3_s,relative_direct_residual,relative_pressure_difference,matrix_rows,matrix_cols,min_singular_value,max_singular_value,net_boundary_injection_abs_nl_s,net_boundary_injection_abs_m3_s,runtime_seconds,solver_success,pressure_solver_backend,phase_iterations_used,phase_iteration_relative_change,phase_constraint_kind,arterial_antiphase_count,common_arterial_phase_deg,phase_constraint_amplitude_floor_pa,run_dir,abs_kL_mean,abs_kL_median,abs_kL_max,abs_kL_p05,abs_kL_p25,abs_kL_p75,abs_kL_p95,abs_kL_fraction_lt_0p01,abs_kL_fraction_lt_0p1,abs_kL_fraction_lt_1,rel_error_Ys_mean,rel_error_Ys_median,rel_error_Ys_max,rel_error_Yt_mean,rel_error_Yt_median,rel_error_Yt_max,representative_label,selection_category,selection_display_label,alpha_dir,D0_dir,profile_run_dir,summary_path,run_name,folded_arterial_phase_difference_deg,selection_score,selection_score_formula
/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/somite21_mosaic_cut_pipeline_ready.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/02_physics_weight_sweep_q100_k0p1_delta0p1_all_observed/H2/q_100__k_100,neutral_unity_transfer_missing_artifacts,full_ideal,Full ideal admittance,2,2.74942019564224,17.275116576522144,34.55023315304429,1e-06,0.0,0.0035,1.0,all,observed,constrained_least_squares,100.0,100.0,1.0,True,torch,4229,6184,27,27,25,25,25,3.064183379447654,1.9216128840538007,281.94772661450907,11.552862578499298,0.0076160550620176,0.005903978151074,68.2708978067451,4976,4.096709960227875e-06,0.0186913922603584,0.6618825303177461,0.0018851614660135,0.0177653847688719,18.1835885574499,19.3797816138416,18.85982806691876,19.41760933803141,18.1835885574499,19.41760933803141,1.2340207805815098,-1.360216678686191,1.113357766993432,2.4735744456796227,True,8458,,,False,,,,,,,18435,8458,,7950.202360774327,0.5147747669825888,5.147747669825887e-13,7.410966550000012,True,torch_linalg_lstsq_real_mixed_cuda,1.0,0.0002043034924189,normalized_phase_only_real_rows,0,-51.03472832850697,0.019022512414885,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/03_distensibility_alpha_profiles_q100_k0p1_delta0p1_all_observed_B1/H2/B1/alpha_0/D0_1em06/models/full_ideal,0.0026752652159762,0.0023145798263138,0.0157250855669327,0.000667256391604,0.0012900312090364,0.0035968957129786,0.00597982916112,0.9967658473479948,1.0,1.0,7.008524446744501e-12,6.378777398113799e-13,1.3588126454849566e-09,6.132462911309936e-12,5.580948958776887e-13,1.1889608249336647e-09,B1,balanced,Balanced 1,alpha_0,D0_1em06,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/03_distensibility_alpha_profiles_q100_k0p1_delta0p1_all_observed_B1/H2/B1/alpha_0/D0_1em06,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/03_distensibility_alpha_profiles_q100_k0p1_delta0p1_all_observed_B1/H2/B1/alpha_0/D0_1em06/summary.csv,B1__alpha_0__D0_1em06__full_ideal,0.0177653847688719,0.013153723661188,0.5*complex_flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s
/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/somite21_mosaic_cut_pipeline_ready.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/02_physics_weight_sweep_q100_k0p1_delta0p1_all_observed/H2/q_100__k_100,neutral_unity_transfer_missing_artifacts,full_ideal,Full ideal admittance,2,2.74942019564224,17.275116576522144,34.55023315304429,1.25892541179e-06,0.0,0.0035,1.0,all,observed,constrained_least_squares,100.0,100.0,1.0,True,torch,4229,6184,27,27,25,25,25,3.064183379447654,1.9216128840538007,281.94772661450907,11.552862578499298,0.0076160501170514,0.0059039751895761,68.27112787217342,4976,4.096709960227875e-06,0.0186913900171691,0.8361198038683798,0.0018918574720032,0.02227441909827,14.288420691959772,15.484113403249362,14.963742109043483,15.52163026928251,14.288420691959772,15.52163026928251,1.2332095773227358,-1.7305991040425046,1.3989387565316294,3.1295378605741337,True,8458,,,False,,,,,,,18435,8458,,7950.202360696257,0.5147747669825888,5.147747669825887e-13,8.4097865549993,True,torch_linalg_lstsq_real_mixed_cuda,1.0,0.0003255032620043,normalized_phase_only_real_rows,0,-51.05498830766672,0.0151258781571324,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/03_distensibility_alpha_profiles_q100_k0p1_delta0p1_all_observed_B1/H2/B1/alpha_0/D0_1p25892541179em06/models/full_ideal,0.0030016969424724,0.0025970012790748,0.0176438362015468,0.0007486739851294,0.0014474388231619,0.004035783368155,0.0067094786723386,0.9935316946959896,1.0,1.0,1.1107767982064472e-11,1.010850380537939e-12,2.153572793165738e-09,9.71928974323946e-12,8.844404195518598e-13,1.8843760012836603e-09,B1,balanced,Balanced 1,alpha_0,D0_1p25892541179em06,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/03_distensibility_alpha_profiles_q100_k0p1_delta0p1_all_observed_B1/H2/B1/alpha_0/D0_1p25892541179em06,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/03_distensibility_alpha_profiles_q100_k0p1_delta0p1_all_observed_B1/H2/B1/alpha_0/D0_1p25892541179em06/summary.csv,B1__alpha_0__D0_1p25892541179em06__full_ideal,0.02227441909827,0.01315372006711025,0.5*complex_flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s
/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/somite21_mosaic_cut_pipeline_ready.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/02_physics_weight_sweep_q100_k0p1_delta0p1_all_observed/H2/q_100__k_100,neutral_unity_transfer_missing_artifacts,full_ideal,Full ideal admittance,2,2.74942019564224,17.275116576522144,34.55023315304429,1.58489319246e-06,0.0,0.0035,1.0,all,observed,constrained_least_squares,100.0,100.0,1.0,True,torch,4229,6184,27,27,25,25,25,3.064183379447654,1.9216128840538007,281.94772661450907,11.552862578499298,0.0076160424735534,0.0059039706076246,68.27148130562254,4976,4.096709960227875e-06,0.0186913879942508,1.0571964482762666,0.0019004131222786,0.0278968887585829,11.195159418321715,12.39019996583915,11.869305825735657,12.427327287132208,11.195159418321715,12.427327287132208,1.232167868810491,-2.20789692760155,1.756781700820205,3.9646786284217552,True,8458,,,False,,,,,,,18435,8458,,7950.202360572519,0.5147747669825888,5.147747669825887e-13,6.387514661997557,True,torch_linalg_lstsq_real_mixed_cuda,1.0,0.000519303768167,normalized_phase_only_real_rows,0,-51.08271299535988,0.0120307455590974,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/03_distensibility_alpha_profiles_q100_k0p1_delta0p1_all_observed_B1/H2/B1/alpha_0/D0_1p58489319246em06/models/full_ideal,0.0033679593636803,0.0029138833609716,0.0197967098228424,0.0008400260275721,0.0016240530710629,0.0045282234166407,0.0075281588891192,0.9857697283311772,1.0,1.0,1.7604619671338328e-11,1.6019712055246478e-12,3.4131827360254e-09,1.5404040690358373e-11,1.401874716723248e-12,2.986534951648049e-09,B1,balanced,Balanced 1,alpha_0,D0_1p58489319246em06,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/03_distensibility_alpha_profiles_q100_k0p1_delta0p1_all_observed_B1/H2/B1/alpha_0/D0_1p58489319246em06,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/03_distensibility_alpha_profiles_q100_k0p1_delta0p1_all_observed_B1/H2/B1/alpha_0/D0_1p58489319246em06/summary.csv,B1__alpha_0__D0_1p58489319246em06__full_ideal,0.0278968887585829,0.013153715233902099,0.5*complex_flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s
/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/somite21_mosaic_cut_pipeline_ready.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/02_physics_weight_sweep_q100_k0p1_delta0p1_all_observed/H2/q_100__k_100,neutral_unity_transfer_missing_artifacts,full_ideal,Full ideal admittance,2,2.74942019564224,17.275116576522144,34.55023315304429,1.99526231497e-06,0.0,0.0035,1.0,all,observed,constrained_least_squares,100.0,100.0,1.0,True,torch,4229,6184,27,27,25,25,25,3.064183379447654,1.9216128840538007,281.94772661450907,11.552862578499298,0.0076160304986517,0.005903963412125,68.27202096978907,4976,4.096709960227875e-06,0.0186913868073822,1.3383021271349025,0.0019113750404233,0.0348884715752896,8.739097807498007,9.933281638749913,9.411734010855726,9.969921414901862,8.739097807498007,9.969921414901862,1.2308236074038543,-2.8266176569743227,2.204505828546649,5.031123485520972,True,8458,,,False,,,,,,,18435,8458,,7950.202360376411,0.5147747669825888,5.147747669825887e-13,6.348008886008756,True,torch_linalg_lstsq_real_mixed_cuda,1.0,0.0008298613889567,normalized_phase_only_real_rows,0,-51.121200876683744,0.009572287440098,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/03_distensibility_alpha_profiles_q100_k0p1_delta0p1_all_observed_B1/H2/B1/alpha_0/D0_1p99526231497em06/models/full_ideal,0.0037789125593907,0.0032694309046956,0.0222122737557041,0.0009425247050305,0.0018222175164995,0.0050807502386764,0.0084467332005144,0.9767141009055628,1.0,1.0,2.7901445963973825e-11,2.539067664919108e-12,5.4095304764665166e-09,2.4413760246967902e-11,2.2216478814258592e-12,4.733338715353013e-09,B1,balanced,Balanced 1,alpha_0,D0_1p99526231497em06,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/03_distensibility_alpha_profiles_q100_k0p1_delta0p1_all_observed_B1/H2/B1/alpha_0/D0_1p99526231497em06,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/03_distensibility_alpha_profiles_q100_k0p1_delta0p1_all_observed_B1/H2/B1/alpha_0/D0_1p99526231497em06/summary.csv,B1__alpha_0__D0_1p99526231497em06__full_ideal,0.0348884715752896,0.01315370865301695,0.5*complex_flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s
/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/somite21_mosaic_cut_pipeline_ready.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/02_physics_weight_sweep_q100_k0p1_delta0p1_all_observed/H2/q_100__k_100,neutral_unity_transfer_missing_artifacts,full_ideal,Full ideal admittance,2,2.74942019564224,17.275116576522144,34.55023315304429,2.51188643151e-06,0.0,0.0035,1.0,all,observed,constrained_least_squares,100.0,100.0,1.0,True,torch,4229,6184,27,27,25,25,25,3.064183379447654,1.9216128840538007,281.94772661450907,11.552862578499298,0.0076160114870691,0.005903951941748,68.2728409698111,4976,4.096709960227875e-06,0.0186913876670923,1.696715894706598,0.0019254598696862,0.0435508613878067,6.789475051278348,7.982522947333505,7.460159892788587,8.018553488791994,6.789475051278348,8.018553488791994,1.229078437513646,-3.634587155596505,2.763543939574505,6.39813109517101,True,8458,,,False,,,,,,,18435,8458,,7950.202360065598,0.5147747669825888,5.147747669825887e-13,6.45648252000683,True,torch_linalg_lstsq_real_mixed_cuda,1.0,0.0013288368833762,normalized_phase_only_real_rows,0,-51.17547333761235,0.0076195813284692,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/03_distensibility_alpha_profiles_q100_k0p1_delta0p1_all_observed_B1/H2/B1/alpha_0/D0_2p51188643151em06/models/full_ideal,0.004240009628829,0.0036683618101329,0.0249225810659023,0.0010575301126795,0.0020445616812643,0.0057006955294929,0.0094773905295404,0.9594113842173352,1.0,1.0,4.422080555991339e-11,4.024125324100595e-12,8.573527527844363e-09,3.869320657557946e-11,3.5211693479261985e-12,7.501836585026005e-09,B1,balanced,Balanced 1,alpha_0,D0_2p51188643151em06,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/03_distensibility_alpha_profiles_q100_k0p1_delta0p1_all_observed_B1/H2/B1/alpha_0/D0_2p51188643151em06,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/03_distensibility_alpha_profiles_q100_k0p1_delta0p1_all_observed_B1/H2/B1/alpha_0/D0_2p51188643151em06/summary.csv,B1__alpha_0__D0_2p51188643151em06__full_ideal,0.0435508613878067,0.013153699577080699,0.5*complex_flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s
/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/somite21_mosaic_cut_pipeline_ready.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/02_physics_weight_sweep_q100_k0p1_delta0p1_all_observed/H2/q_100__k_100,neutral_unity_transfer_missing_artifacts,full_ideal,Full ideal admittance,2,2.74942019564224,17.275116576522144,34.55023315304429,3.16227766017e-06,0.0,0.0035,1.0,all,observed,constrained_least_squares,100.0,100.0,1.0,True,torch,4229,6184,27,27,25,25,25,3.064183379447654,1.9216128840538007,281.94772661450907,11.552862578499298,0.0076159804745595,0.0059039322734813,68.274076508735,4976,4.096709960227875e-06,0.0186913945566,2.149247430015629,0.0019547010836999,0.0541966209604448,5.2416208178191,6.434681256423305,5.910641283568557,6.469803537415562,5.2416208178191,6.469803537415562,1.228182719596462,-4.6847487526821565,3.456391739953374,8.141140492635529,True,8458,,,False,,,,,,,18435,8458,,7950.202359572998,0.5147747669825888,5.147747669825887e-13,6.985213473992189,True,torch_linalg_lstsq_real_mixed_cuda,2.0,0.0019676667436483,normalized_phase_only_real_rows,0,-51.13817496052833,0.0060736207435498,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/03_distensibility_alpha_profiles_q100_k0p1_delta0p1_all_observed_B1/H2/B1/alpha_0/D0_3p16227766017em06/models/full_ideal,0.004757369049965,0.0041159696480264,0.0279635958847839,0.0011865683024067,0.0022940359373376,0.0063962855864489,0.0106338070727729,0.933699870633894,1.0,1.0,7.008525564835142e-11,6.377853191895667e-12,1.3588124847447582e-08,6.13245986398246e-11,5.58066198502838e-12,1.1889609835890453e-08,B1,balanced,Balanced 1,alpha_0,D0_3p16227766017em06,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/03_distensibility_alpha_profiles_q100_k0p1_delta0p1_all_observed_B1/H2/B1/alpha_0/D0_3p16227766017em06,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/03_distensibility_alpha_profiles_q100_k0p1_delta0p1_all_observed_B1/H2/B1/alpha_0/D0_3p16227766017em06/summary.csv,B1__alpha_0__D0_3p16227766017em06__full_ideal,0.0541966209604448,0.01315368751557975,0.5*complex_flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s
/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/somite21_mosaic_cut_pipeline_ready.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/02_physics_weight_sweep_q100_k0p1_delta0p1_all_observed/H2/q_100__k_100,neutral_unity_transfer_missing_artifacts,full_ideal,Full ideal admittance,2,2.74942019564224,17.275116576522144,34.55023315304429,3.98107170553e-06,0.0,0.0035,1.0,all,observed,constrained_least_squares,100.0,100.0,1.0,True,torch,4229,6184,27,27,25,25,25,3.064183379447654,1.9216128840538007,281.94772661450907,11.552862578499298,0.0076159183631151,0.0059038710384465,68.27601772878654,4976,4.096709960227875e-06,0.0186914494531815,2.520344742325155,0.0022858326486856,0.0660750213008271,3.982282175823941,5.215325547268801,4.672270496836663,5.24530892372678,3.982282175823941,5.24530892372678,1.2630267479028388,-5.565840175592086,4.202387665182406,9.768227840774491,True,8458,,,False,,,,,,,18435,8458,,7950.202358792279,0.5147747669825888,5.147747669825887e-13,19.36253266799031,False,torch_linalg_lstsq_real_mixed_cuda,20.0,0.0029214399158889,normalized_phase_only_real_rows,0,-47.96985725769626,0.0048406539673316,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/03_distensibility_alpha_profiles_q100_k0p1_delta0p1_all_observed_B1/H2/B1/alpha_0/D0_3p98107170553em06/models/full_ideal,0.0053378558679811,0.0046181939024283,0.0313756706313424,0.0013313515325889,0.0025739506565225,0.007176750466975,0.0119313277751274,0.9010349288486416,1.0,1.0,1.1107764422174943e-10,1.0108084057391058e-11,2.153572625318792e-08,9.719294078476043e-11,8.844827699007794e-12,1.8843761860638665e-08,B1,balanced,Balanced 1,alpha_0,D0_3p98107170553em06,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/03_distensibility_alpha_profiles_q100_k0p1_delta0p1_all_observed_B1/H2/B1/alpha_0/D0_3p98107170553em06,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/03_distensibility_alpha_profiles_q100_k0p1_delta0p1_all_observed_B1/H2/B1/alpha_0/D0_3p98107170553em06/summary.csv,B1__alpha_0__D0_3p98107170553em06__full_ideal,0.0660750213008271,0.0131536839081483,0.5*complex_flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s
/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/somite21_mosaic_cut_pipeline_ready.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/02_physics_weight_sweep_q100_k0p1_delta0p1_all_observed/H2/q_100__k_100,neutral_unity_transfer_missing_artifacts,full_ideal,Full ideal admittance,2,2.74942019564224,17.275116576522144,34.55023315304429,5.01187233627e-06,0.0,0.0035,1.0,all,observed,constrained_least_squares,100.0,100.0,1.0,True,torch,4229,6184,27,27,25,25,25,3.064183379447654,1.9216128840538007,281.94772661450907,11.552862578499298,0.0076158378391631,0.0059038066432524,68.2787691249641,4976,4.096709960227875e-06,0.0186914929834587,3.0572183546146925,0.0024904155768501,0.080798512843166,2.987538674154657,4.242179207945647,3.688001865501601,4.268563223316847,2.987538674154657,4.268563223316847,1.2810245491621903,-6.90913434220359,5.141803495807543,12.050937838011134,True,8458,,,False,,,,,,,18435,8458,,7950.20235755492,0.5147747669825888,5.147747669825887e-13,19.35437285806984,False,torch_linalg_lstsq_real_mixed_cuda,20.0,0.0045231639945522,normalized_phase_only_real_rows,0,-46.11983508894118,0.0038605995188741,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/03_distensibility_alpha_profiles_q100_k0p1_delta0p1_all_observed_B1/H2/B1/alpha_0/D0_5p01187233627em06/models/full_ideal,0.0059891727902809,0.0051816987840712,0.0352040814644787,0.0014938009887285,0.0028880201370819,0.008052446465869,0.0133871699480232,0.8543014230271668,1.0,1.0,1.7604620291219818e-10,1.6020359209528158e-11,3.4131824358689536e-08,1.5404042874968158e-10,1.4017946201706474e-11,2.9865349823940253e-08,B1,balanced,Balanced 1,alpha_0,D0_5p01187233627em06,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/03_distensibility_alpha_profiles_q100_k0p1_delta0p1_all_observed_B1/H2/B1/alpha_0/D0_5p01187233627em06,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/03_distensibility_alpha_profiles_q100_k0p1_delta0p1_all_observed_B1/H2/B1/alpha_0/D0_5p01187233627em06/summary.csv,B1__alpha_0__D0_5p01187233627em06__full_ideal,0.080798512843166,0.0131536654113109,0.5*complex_flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s
/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/somite21_mosaic_cut_pipeline_ready.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/02_physics_weight_sweep_q100_k0p1_delta0p1_all_observed/H2/q_100__k_100,neutral_unity_transfer_missing_artifacts,full_ideal,Full ideal admittance,2,2.74942019564224,17.275116576522144,34.55023315304429,6.3095734448e-06,0.0,0.0035,1.0,all,observed,constrained_least_squares,100.0,100.0,1.0,True,torch,4229,6184,27,27,25,25,25,3.064183379447654,1.9216128840538007,281.94772661450907,11.552862578499298,0.0076157149061455,0.0059037073090996,68.28381034100336,4976,4.096709960227875e-06,0.018691556844396,3.607429303838128,0.0027858214403524,0.0977393960669149,2.1808774164606923,3.4673135702328017,2.897983015724508,3.4886097820278965,2.1808774164606923,3.4886097820278965,1.3077323655672042,-8.37154082758192,6.193487265668328,14.56502809325025,True,8458,,,False,,,,,,,18435,8458,,7950.202355593843,0.5147747669825888,5.147747669825887e-13,19.493408949987497,False,torch_linalg_lstsq_real_mixed_cuda,20.0,0.0068387385073924,normalized_phase_only_real_rows,0,-43.20724964347375,0.003077408748278,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/03_distensibility_alpha_profiles_q100_k0p1_delta0p1_all_observed_B1/H2/B1/alpha_0/D0_6p3095734448em06/models/full_ideal,0.0067199623966992,0.0058139616603626,0.0394996290698995,0.0016760722764081,0.003240411890202,0.0090349935369847,0.0150206517325605,0.8009379042690815,1.0,1.0,2.79014425546212e-10,2.5390874999424638e-11,5.409529184566744e-08,2.441376298684075e-10,2.2216983143718465e-11,4.7333389971325145e-08,B1,balanced,Balanced 1,alpha_0,D0_6p3095734448em06,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/03_distensibility_alpha_profiles_q100_k0p1_delta0p1_all_observed_B1/H2/B1/alpha_0/D0_6p3095734448em06,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/03_distensibility_alpha_profiles_q100_k0p1_delta0p1_all_observed_B1/H2/B1/alpha_0/D0_6p3095734448em06/summary.csv,B1__alpha_0__D0_6p3095734448em06__full_ideal,0.0977393960669149,0.013153635875270749,0.5*complex_flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s
/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/somite21_mosaic_cut_pipeline_ready.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/02_physics_weight_sweep_q100_k0p1_delta0p1_all_observed/H2/q_100__k_100,neutral_unity_transfer_missing_artifacts,full_ideal,Full ideal admittance,2,2.74942019564224,17.275116576522144,34.55023315304429,7.94328234724e-06,0.0,0.0035,1.0,all,observed,constrained_least_squares,100.0,100.0,1.0,True,torch,4229,6184,27,27,25,25,25,3.064183379447654,1.9216128840538007,281.94772661450907,11.552862578499298,0.0076155302980283,0.0059035601628493,68.28151388114097,4976,4.096709960227875e-06,0.0186916332973584,4.069278385178841,0.0031911981884071,0.1167335578876053,1.51419529305216,2.843161097482183,2.25512752394607,2.8574908623275403,1.51419529305216,2.8574908623275403,1.3432955692753803,-9.673007501191236,7.28400819877944,16.95701569997068,True,8458,,,False,,,,,,,18435,8458,,7950.202352485736,0.5147747669825888,5.147747669825887e-13,19.425167508001323,False,torch_linalg_lstsq_real_mixed_cuda,20.0,0.0098567708623086,normalized_phase_only_real_rows,0,-38.75258257187219,0.0024446234180519,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/03_distensibility_alpha_profiles_q100_k0p1_delta0p1_all_observed_B1/H2/B1/alpha_0/D0_7p94328234724em06/models/full_ideal,0.0075399218213115,0.0065233722755308,0.0443193127545085,0.0018805840248737,0.003635801940346,0.0101374294829956,0.0168534484395753,0.740620957309185,1.0,1.0,4.422080608949098e-10,4.0241757684579006e-11,8.573524953849685e-08,3.86932062618753e-10,3.521159719133424e-11,7.501836738303727e-08,B1,balanced,Balanced 1,alpha_0,D0_7p94328234724em06,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/03_distensibility_alpha_profiles_q100_k0p1_delta0p1_all_observed_B1/H2/B1/alpha_0/D0_7p94328234724em06,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/03_distensibility_alpha_profiles_q100_k0p1_delta0p1_all_observed_B1/H2/B1/alpha_0/D0_7p94328234724em06/summary.csv,B1__alpha_0__D0_7p94328234724em06__full_ideal,0.1167335578876053,0.01315358179769335,0.5*complex_flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s
