model_name,model_label,representative_label,selection_display_label,selection_category,harmonic_number,alpha,metric_name,metric_value,representative_D0,arterial_pressure_phase_difference_deg,folded_arterial_phase_difference_deg,profile_run_dir
full_ideal,Full ideal admittance,B1,Balanced 1,balanced,2,0.0,complex_flow_rmse_nl_s,0.0076149916094067,1.25892541179e-05,0.1666643908963483,0.1666643908963483,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/03_distensibility_alpha_profiles_q100_k0p1_delta0p1_all_observed_B1/H2/B1/alpha_0/D0_1p25892541179em05
full_ideal,Full ideal admittance,B1,Balanced 1,balanced,2,0.0,kirchhoff_rms_per_internal_node_nl_s,0.0186912828428689,1.58489319246e-05,0.2094276279173902,0.2094276279173902,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/03_distensibility_alpha_profiles_q100_k0p1_delta0p1_all_observed_B1/H2/B1/alpha_0/D0_1p58489319246em05
full_ideal,Full ideal admittance,B1,Balanced 1,balanced,2,1.0,complex_flow_rmse_nl_s,0.0076151726375425,6.3095734448e-06,0.1801692665322748,0.1801692665322748,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/03_distensibility_alpha_profiles_q100_k0p1_delta0p1_all_observed_B1/H2/B1/alpha_1/D0_6p3095734448em06
full_ideal,Full ideal admittance,B1,Balanced 1,balanced,2,1.0,kirchhoff_rms_per_internal_node_nl_s,0.0186904094864718,1e-06,0.0383668514480878,0.0383668514480878,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/03_distensibility_alpha_profiles_q100_k0p1_delta0p1_all_observed_B1/H2/B1/alpha_1/D0_1em06
full_ideal,Full ideal admittance,B1,Balanced 1,balanced,2,2.0,complex_flow_rmse_nl_s,0.007615194550441,1.58489319246e-06,0.1665412781648511,0.1665412781648511,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/03_distensibility_alpha_profiles_q100_k0p1_delta0p1_all_observed_B1/H2/B1/alpha_2/D0_1p58489319246em06
full_ideal,Full ideal admittance,B1,Balanced 1,balanced,2,2.0,kirchhoff_rms_per_internal_node_nl_s,0.0186900835319172,1e-06,0.1180228834234533,0.1180228834234533,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/03_distensibility_alpha_profiles_q100_k0p1_delta0p1_all_observed_B1/H2/B1/alpha_2/D0_1em06
taylor_dc_transferred,Taylor-expanded + transferred DC conductance,B1,Balanced 1,balanced,2,0.0,complex_flow_rmse_nl_s,0.0076149916270395,1.25892541179e-05,0.1666588930434013,0.1666588930434013,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/03_distensibility_alpha_profiles_q100_k0p1_delta0p1_all_observed_B1/H2/B1/alpha_0/D0_1p25892541179em05
taylor_dc_transferred,Taylor-expanded + transferred DC conductance,B1,Balanced 1,balanced,2,0.0,kirchhoff_rms_per_internal_node_nl_s,0.0186912829430946,1.58489319246e-05,0.2094180901234861,0.2094180901234861,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/03_distensibility_alpha_profiles_q100_k0p1_delta0p1_all_observed_B1/H2/B1/alpha_0/D0_1p58489319246em05
taylor_dc_transferred,Taylor-expanded + transferred DC conductance,B1,Balanced 1,balanced,2,1.0,complex_flow_rmse_nl_s,0.0076151726274883,6.3095734448e-06,0.1801644809294672,0.1801644809294672,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/03_distensibility_alpha_profiles_q100_k0p1_delta0p1_all_observed_B1/H2/B1/alpha_1/D0_6p3095734448em06
taylor_dc_transferred,Taylor-expanded + transferred DC conductance,B1,Balanced 1,balanced,2,1.0,kirchhoff_rms_per_internal_node_nl_s,0.0186904094947475,1e-06,0.0383666727515046,0.0383666727515046,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/03_distensibility_alpha_profiles_q100_k0p1_delta0p1_all_observed_B1/H2/B1/alpha_1/D0_1em06
taylor_dc_transferred,Taylor-expanded + transferred DC conductance,B1,Balanced 1,balanced,2,2.0,complex_flow_rmse_nl_s,0.0076151945606672,1.58489319246e-06,0.1665390209352634,0.1665390209352634,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/03_distensibility_alpha_profiles_q100_k0p1_delta0p1_all_observed_B1/H2/B1/alpha_2/D0_1p58489319246em06
taylor_dc_transferred,Taylor-expanded + transferred DC conductance,B1,Balanced 1,balanced,2,2.0,kirchhoff_rms_per_internal_node_nl_s,0.0186900835288704,1e-06,0.1180219883836621,0.1180219883836621,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/03_distensibility_alpha_profiles_q100_k0p1_delta0p1_all_observed_B1/H2/B1/alpha_2/D0_1em06
taylor_ideal,Taylor-expanded ideal admittance,B1,Balanced 1,balanced,2,0.0,complex_flow_rmse_nl_s,0.0076149916270395,1.25892541179e-05,0.1666588930434013,0.1666588930434013,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/03_distensibility_alpha_profiles_q100_k0p1_delta0p1_all_observed_B1/H2/B1/alpha_0/D0_1p25892541179em05
taylor_ideal,Taylor-expanded ideal admittance,B1,Balanced 1,balanced,2,0.0,kirchhoff_rms_per_internal_node_nl_s,0.0186912829430946,1.58489319246e-05,0.2094180901234861,0.2094180901234861,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/03_distensibility_alpha_profiles_q100_k0p1_delta0p1_all_observed_B1/H2/B1/alpha_0/D0_1p58489319246em05
taylor_ideal,Taylor-expanded ideal admittance,B1,Balanced 1,balanced,2,1.0,complex_flow_rmse_nl_s,0.0076151726274883,6.3095734448e-06,0.1801644809294672,0.1801644809294672,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/03_distensibility_alpha_profiles_q100_k0p1_delta0p1_all_observed_B1/H2/B1/alpha_1/D0_6p3095734448em06
taylor_ideal,Taylor-expanded ideal admittance,B1,Balanced 1,balanced,2,1.0,kirchhoff_rms_per_internal_node_nl_s,0.0186904094947475,1e-06,0.0383666727515046,0.0383666727515046,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/03_distensibility_alpha_profiles_q100_k0p1_delta0p1_all_observed_B1/H2/B1/alpha_1/D0_1em06
taylor_ideal,Taylor-expanded ideal admittance,B1,Balanced 1,balanced,2,2.0,complex_flow_rmse_nl_s,0.0076151945606672,1.58489319246e-06,0.1665390209352634,0.1665390209352634,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/03_distensibility_alpha_profiles_q100_k0p1_delta0p1_all_observed_B1/H2/B1/alpha_2/D0_1p58489319246em06
taylor_ideal,Taylor-expanded ideal admittance,B1,Balanced 1,balanced,2,2.0,kirchhoff_rms_per_internal_node_nl_s,0.0186900835288704,1e-06,0.1180219883836621,0.1180219883836621,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/ac/03_distensibility_alpha_profiles_q100_k0p1_delta0p1_all_observed_B1/H2/B1/alpha_2/D0_1em06
