artifact_name,bundle_type,source_path,destination_path,size_bytes,description
dc/00_ideal_models/poiseuille_only_baseline/default_partitioned/summary.csv,repo,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/dc/00_ideal_models/poiseuille_only_baseline/default_partitioned/summary.csv,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/publish/somite21/dc/repo_bundle/dc/00_ideal_models/poiseuille_only_baseline/default_partitioned/summary.csv,5518,DC Step 0 Poiseuille baseline summary table
dc/00_ideal_models/poiseuille_only_baseline/default_partitioned/summary.yaml,repo,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/dc/00_ideal_models/poiseuille_only_baseline/default_partitioned/summary.yaml,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/publish/somite21/dc/repo_bundle/dc/00_ideal_models/poiseuille_only_baseline/default_partitioned/summary.yaml,6357,DC Step 0 Poiseuille baseline summary YAML
dc/00_ideal_models/poiseuille_only_baseline/default_partitioned/poiseuille_summary.csv,repo,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/dc/00_ideal_models/poiseuille_only_baseline/default_partitioned/poiseuille_summary.csv,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/publish/somite21/dc/repo_bundle/dc/00_ideal_models/poiseuille_only_baseline/default_partitioned/poiseuille_summary.csv,5518,DC Step 0 Poiseuille-only baseline summary
dc/00_ideal_models/poiseuille_only_baseline/default_partitioned/figures,repo,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/dc/00_ideal_models/poiseuille_only_baseline/default_partitioned/figures,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/publish/somite21/dc/repo_bundle/dc/00_ideal_models/poiseuille_only_baseline/default_partitioned/figures,3973564,DC Step 0 Poiseuille baseline figures
dc/01_boundary_parameter_calibration/boundary_weight_summary.csv,repo,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/dc/01_boundary_parameter_calibration/boundary_weight_summary.csv,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/publish/somite21/dc/repo_bundle/dc/01_boundary_parameter_calibration/boundary_weight_summary.csv,13225,DC Step 1 boundary-weight summary table
dc/01_boundary_parameter_calibration/boundary_weight_summary.yaml,repo,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/dc/01_boundary_parameter_calibration/boundary_weight_summary.yaml,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/publish/somite21/dc/repo_bundle/dc/01_boundary_parameter_calibration/boundary_weight_summary.yaml,29638,DC Step 1 boundary-weight summary YAML
dc/01_boundary_parameter_calibration/figures,repo,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/dc/01_boundary_parameter_calibration/figures,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/publish/somite21/dc/repo_bundle/dc/01_boundary_parameter_calibration/figures,4461299,DC Step 1 boundary-parameter calibration figures
dc/02_physics_weight_sweep/launcher_manifest.csv,repo,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/dc/02_physics_weight_sweep/launcher_manifest.csv,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/publish/somite21/dc/repo_bundle/dc/02_physics_weight_sweep/launcher_manifest.csv,487,DC Step 2 launcher manifest
dc/02_physics_weight_sweep/physics_weight_all_runs.csv,repo,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/dc/02_physics_weight_sweep/physics_weight_all_runs.csv,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/publish/somite21/dc/repo_bundle/dc/02_physics_weight_sweep/physics_weight_all_runs.csv,96563,DC Step 2 all-runs summary
dc/02_physics_weight_sweep/physics_weight_analysis.yaml,repo,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/dc/02_physics_weight_sweep/physics_weight_analysis.yaml,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/publish/somite21/dc/repo_bundle/dc/02_physics_weight_sweep/physics_weight_analysis.yaml,440,DC Step 2 analysis YAML
dc/02_physics_weight_sweep/physics_weight_gnn_summary.csv,repo,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/dc/02_physics_weight_sweep/physics_weight_gnn_summary.csv,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/publish/somite21/dc/repo_bundle/dc/02_physics_weight_sweep/physics_weight_gnn_summary.csv,82628,DC Step 2 GNN summary
dc/02_physics_weight_sweep/physics_weight_poiseuille_summary.csv,repo,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/dc/02_physics_weight_sweep/physics_weight_poiseuille_summary.csv,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/publish/somite21/dc/repo_bundle/dc/02_physics_weight_sweep/physics_weight_poiseuille_summary.csv,15247,DC Step 2 Poiseuille summary
dc/02_physics_weight_sweep/representative_configurations.csv,repo,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/dc/02_physics_weight_sweep/representative_configurations.csv,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/publish/somite21/dc/repo_bundle/dc/02_physics_weight_sweep/representative_configurations.csv,21423,DC Step 2 representative configurations
