plot_label,run_name,selection_category,selection_rank_within_regime,selection_score,selection_score_formula,selection_score_regime,lambda_q,lambda_k,lambda_delta,flow_rmse_nl_s,kirchhoff_rms_per_internal_node_nl_s,delta_rms
F1,q_100__k_0p1__delta_0p1,flow_prioritized,1,0.037661394443252,0.75*flow_rmse_nl_s + 0.25*kirchhoff_rms_per_internal_node_nl_s,flow_prioritized,100.0,0.1,0.1,0.0266828068357075,0.0705971572658856,0.4076945120445413
F2,q_100__k_0p1__delta_1,flow_prioritized,2,0.0378381375937042,0.75*flow_rmse_nl_s + 0.25*kirchhoff_rms_per_internal_node_nl_s,flow_prioritized,100.0,0.1,1.0,0.0271600669464426,0.0698723495354889,0.3355341004528938
F3,q_100__k_0p1__delta_10,flow_prioritized,3,0.0386643935366703,0.75*flow_rmse_nl_s + 0.25*kirchhoff_rms_per_internal_node_nl_s,flow_prioritized,100.0,0.1,10.0,0.0296745924779843,0.0656337967127284,0.1326537629288377
F4,q_100__k_1__delta_0p1,flow_prioritized,4,0.0420824391218155,0.75*flow_rmse_nl_s + 0.25*kirchhoff_rms_per_internal_node_nl_s,flow_prioritized,100.0,1.0,0.1,0.033969179123796,0.0664222191158739,0.3735570178521317
B1,q_100__k_0p1__delta_100,balanced,1,0.0493362103984195,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,balanced,100.0,0.1,100.0,0.0328650107809716,0.0658074100158673,0.0414307794138148
B2,q_10__k_0p1__delta_10,balanced,2,0.0509688781489851,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,balanced,10.0,0.1,10.0,0.0353082613060268,0.0666294949919433,0.0452891277600532
B3,q_1__k_1__delta_0p1,balanced,3,0.0513250876709383,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,balanced,1.0,1.0,0.1,0.0391832191210508,0.0634669562208258,0.2326065979253192
B4,q_0p1__k_0p1__delta_0p1,balanced,4,0.0514026554975656,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,balanced,0.1,0.1,0.1,0.03682345795777,0.0659818530373613,0.1296884240820902
K1,q_1__k_100__delta_0p1,conservation_prioritized,1,0.0557106616073257,0.25*flow_rmse_nl_s + 0.75*kirchhoff_rms_per_internal_node_nl_s,conservation_prioritized,1.0,100.0,0.1,0.0423417094607387,0.0601669789895214,0.257708245897269
K2,q_1__k_100__delta_10,conservation_prioritized,2,0.0558399456751644,0.25*flow_rmse_nl_s + 0.75*kirchhoff_rms_per_internal_node_nl_s,conservation_prioritized,1.0,100.0,10.0,0.0441456776655365,0.059738035011707,0.3020538899380103
K3,q_0p1__k_1__delta_0p1,conservation_prioritized,3,0.0574230387110447,0.25*flow_rmse_nl_s + 0.75*kirchhoff_rms_per_internal_node_nl_s,conservation_prioritized,0.1,1.0,0.1,0.0396877775270658,0.0633347924390376,0.2102983378664875
K4,q_1__k_100__delta_1,conservation_prioritized,4,0.0575762891466845,0.25*flow_rmse_nl_s + 0.75*kirchhoff_rms_per_internal_node_nl_s,conservation_prioritized,1.0,100.0,1.0,0.0390008586944882,0.0637680992974165,0.2490705386775553
C1,q_0p1__k_1__delta_10,correction_regularized,1,0.0516260489186703,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,correction_regularized,0.1,1.0,10.0,0.0382109717283607,0.0650411261089799,0.1138792347037618
C2,q_0p1__k_0p1__delta_1,correction_regularized,2,0.0517146770962503,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,correction_regularized,0.1,0.1,1.0,0.0382183483195391,0.0652110058729614,0.1070904433444498
C3,q_0p1__k_10__delta_100,correction_regularized,3,0.0520989577961844,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,correction_regularized,0.1,10.0,100.0,0.0380504191565836,0.0661474964357852,0.0761634806863883
C4,q_0p1__k_1__delta_100,correction_regularized,4,0.0525608945457609,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,correction_regularized,0.1,1.0,100.0,0.0379619240552986,0.0671598650362232,0.0186699690189411
