run_name,model_family,lambda_q,lambda_k,lambda_b,lambda_delta,message_passing_layers,weighting_regime,flow_rmse_nl_s,flow_mae_nl_s,flow_nrmse_median,kirchhoff_rms_per_internal_node_nl_s,kirchhoff_mae_per_internal_node_nl_s,kirchhoff_p95_abs_nl_s,kirchhoff_max_abs_nl_s,kirchhoff_rms_normalized_median,pressure_min_pa,pressure_max_pa,pressure_mean_pa,arterial_pressure_mean_pa,venous_pressure_mean_pa,arterial_pressure_spread_pa,venous_pressure_spread_pa,arterial_equality_residual_pa,venous_equality_residual_pa,boundary_residual_rms_pa,boundary_residual_max_pa,delta_mean,delta_std,delta_mean_abs,delta_rms,delta_min_observed,delta_max_observed,delta_saturation_fraction,conductance_ratio_mean,conductance_ratio_median,conductance_ratio_min,conductance_ratio_max,conductance_ratio_p05,conductance_ratio_p95,convergence_status,solver_success,runtime_seconds,graph_path,output_dir,boundary_role_constraint_count,pressure_range_pa,flow_rmse_p05,flow_rmse_p95,kirchhoff_rms_p05,kirchhoff_rms_p95,flow_rmse_rank_scaled,kirchhoff_rms_rank_scaled,score_flow_prioritized,score_conservation_prioritized,score_balanced,score_correction_regularized,selection_score,selection_score_formula,selection_score_regime,pareto_rank,is_pareto_front,dominated,n_dominating_runs,n_dominated_runs,selected_representative,selection_rank_within_regime,selection_category,plot_label
q_0p1__k_0p1__delta_0p1,gnn,0.1,0.1,100.0,0.1,2,balanced,0.03682345795777,0.021003468168310523,1.0682385085125246,0.06598185303736133,0.03300696001229012,0.12668649359811116,1.113203387977102,1.9141156259240117,-0.009015852585434914,12.550688743591309,4.244715479263286,7.887305459976196,2.7075851903646253e-05,11.645402431488037,5.4151703807292506e-05,nan,nan,0.0060832383794950625,0.008602827787399292,0.01795175786812456,0.12843995379296952,0.1118458504241953,0.12968842408209022,-0.2915315628051758,0.23472832143306732,0.0,1.026361744851479,1.04814875125885,0.7471184730529785,1.264565110206604,0.8079925775527954,1.2121174335479736,True,True,385.1027752759983,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/somite21_mosaic_cut_pipeline_ready.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/dc/02_physics_weight_sweep/gnn/q_0p1__k_0p1__delta_0p1,2,12.559704596176744,0.03303063603239535,0.04073269842313084,0.06351212768231448,0.06812215286842747,0.49244237880192776,0.5357292542536476,0.5032640976648577,0.5249075353907177,0.5140858165277877,0.5140858165277877,0.05140265549756566,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,balanced,4,False,True,5,27,True,4,balanced,B4
q_0p1__k_0p1__delta_1,gnn,0.1,0.1,100.0,1.0,2,correction_regularized,0.03821834831953917,0.021712176513069344,1.1087038988434286,0.06521100587296148,0.03257486102189651,0.12587504281090486,1.1014668994599464,1.891753559163906,-0.001711419434286654,13.039985656738281,4.435063322335663,8.088888866901398,-0.000855709717143327,12.087780773639679,0.001711419434286654,nan,nan,0.005342353746773486,0.007358840201050043,0.04568759327357428,0.09685559806526028,0.08919629181778384,0.10709044334444988,-0.32076239585876465,0.19757312536239624,0.0,1.0514497411160069,1.0704715251922607,0.7255956530570984,1.2184422016143799,0.8399564981460571,1.173891258239746,True,True,395.49381879300927,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/somite21_mosaic_cut_pipeline_ready.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/dc/02_physics_weight_sweep/gnn/q_0p1__k_0p1__delta_1,2,13.041697076172568,0.03303063603239535,0.04073269842313084,0.06351212768231448,0.06812215286842747,0.673548463251079,0.36851820154141784,0.5972908978236636,0.44477576696883314,0.5210333323962484,0.5210333323962484,0.05171467709625033,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,correction_regularized,3,False,True,4,6,True,2,correction_regularized,C2
q_0p1__k_0p1__delta_10,gnn,0.1,0.1,100.0,10.0,2,correction_regularized,0.03784407397189063,0.02123146245508025,1.0978463017278863,0.06769494657681656,0.03390565219547514,0.12774313670662463,1.1323188480599766,1.96381200396729,-0.001709815813228488,13.580973625183105,4.685890885700969,8.48894722700119,-0.000854907906614244,12.628489017486572,0.001709815813228488,nan,nan,0.006867990966799146,0.009561125189065933,-0.0007207370837288943,0.013849148393204247,0.010465316538979487,0.013867890003921154,-0.04825228825211525,0.0375421904027462,0.0,0.9993753526744003,0.9983789324760437,0.9528933763504028,1.0382558107376099,0.9748649954795837,1.0241307020187378,True,True,392.61227695900016,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/somite21_mosaic_cut_pipeline_ready.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/dc/02_physics_weight_sweep/gnn/q_0p1__k_0p1__delta_10,2,13.582683440996334,0.03303063603239535,0.04073269842313084,0.06351212768231448,0.06812215286842747,0.6249544206867468,0.9073310287115545,0.6955485726929487,0.8367368767053525,0.7661427246991506,0.7661427246991506,0.052769510274353594,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,correction_regularized,10,False,True,28,2,False,nan,correction_regularized,
q_0p1__k_0p1__delta_100,gnn,0.1,0.1,100.0,100.0,2,correction_regularized,0.037923201494441505,0.02126013233783934,1.1001417696540374,0.06812876419765283,0.03415443288439272,0.12898326205929353,1.1354672627486573,1.9763969352570145,-0.002118464792147279,13.667537689208984,4.707371445283381,8.513186466693877,-0.0010592323960736394,12.695496737957,0.002118464792147279,nan,nan,0.006845057154308647,0.00944572500884533,2.193723626418769e-07,0.0030968661204166426,0.0024580533015813436,0.0030968661281864777,-0.01093737781047821,0.010467971675097942,0.0,1.0000050250771797,1.0000983476638794,0.989122211933136,1.0105229616165161,0.9950238943099976,1.0049016952514649,True,True,392.6894472700078,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/somite21_mosaic_cut_pipeline_ready.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/dc/02_physics_weight_sweep/gnn/q_0p1__k_0p1__delta_100,2,13.669656154001132,0.03303063603239535,0.04073269842313084,0.06351212768231448,0.06812215286842747,0.6352279706187826,1.0,0.7264209779640869,0.9088069926546957,0.8176139853093913,0.8176139853093913,0.05302598284604717,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,correction_regularized,12,False,True,35,0,False,nan,correction_regularized,
q_0p1__k_100__delta_0p1,gnn,0.1,100.0,100.0,0.1,2,conservation_prioritized,0.03963823765371874,0.02235886302385272,1.1498945025704415,0.0642327512698448,0.03199811526166046,0.12486691232859931,1.0858476661226857,1.8633746589699778,-0.0018309697043150663,13.017219543457031,4.538751545486098,8.157028799057008,-0.0009154848521575332,12.004018783569336,0.0018309697043150663,nan,nan,0.006834300488315258,0.009490146301686764,0.044384547309792285,0.13682689607602946,0.12608253751170043,0.14384570737319866,-0.27948451042175293,0.2313660830259323,0.0,1.0549988685460452,1.066734790802002,0.7561734318733215,1.2603205442428589,0.8166511058807373,1.2394640922546387,True,True,394.82803745998535,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/somite21_mosaic_cut_pipeline_ready.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/dc/02_physics_weight_sweep/gnn/q_0p1__k_100__delta_0p1,2,13.019050513161346,0.03303063603239535,0.04073269842313084,0.06351212768231448,0.06812215286842747,0.8579002981424058,0.15631662701129925,0.6825043803596291,0.33171254479407586,0.5071084625768525,0.5071084625768525,0.05808412286581329,0.25*flow_rmse_nl_s + 0.75*kirchhoff_rms_per_internal_node_nl_s,conservation_prioritized,2,False,True,2,4,False,nan,conservation_prioritized,
q_0p1__k_100__delta_1,gnn,0.1,100.0,100.0,1.0,2,conservation_prioritized,0.03767599720318092,0.021523251382524415,1.0929704403427885,0.06507682357170205,0.03264422616393242,0.12246770573565499,1.1075604409299666,1.887860967068657,-0.008523707278072834,14.186312675476074,4.416040813110236,8.350081572532654,-0.001671512727625668,13.31865781545639,0.003343025455251336,nan,nan,0.006337267972182348,0.008315414190292358,-0.003292156154901528,0.16573266777010587,0.13374049365040266,0.1657653626616393,-0.43722736835479736,0.31684792041778564,0.0,1.0101605398480296,1.0184074640274048,0.6458246111869812,1.3727936744689941,0.7242839574813843,1.284049654006958,True,True,394.1127860019915,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/somite21_mosaic_cut_pipeline_ready.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/dc/02_physics_weight_sweep/gnn/q_0p1__k_100__delta_1,2,14.194836382754147,0.03303063603239535,0.04073269842313084,0.06351212768231448,0.06812215286842747,0.60313211385736,0.3394115707005203,0.5372019780681501,0.4053417064897302,0.47127184227894015,0.47127184227894015,0.058226616979571766,0.25*flow_rmse_nl_s + 0.75*kirchhoff_rms_per_internal_node_nl_s,conservation_prioritized,2,False,True,2,23,False,nan,conservation_prioritized,
q_0p1__k_100__delta_10,gnn,0.1,100.0,100.0,10.0,2,conservation_prioritized,0.03835757850121612,0.02180223249793592,1.1127429285778192,0.06597592660699313,0.03314402712320631,0.12379781173712379,1.1136107227333047,1.9139437017895486,-0.011826819740235806,14.536162376403809,4.87829264536199,9.025713291168213,-0.0010359152220189571,13.535062551498413,0.0020718304440379143,nan,nan,0.007838651985795766,0.010890199802815914,-0.06223698603566666,0.10099342681575679,0.1008226403015947,0.11863015927998054,-0.2600818872451782,0.3198750615119934,0.0,0.9446625346600748,0.9269453883171082,0.7709884643554688,1.3769557476043701,0.8221422910690308,1.1841305017471313,True,True,395.008289103047,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/somite21_mosaic_cut_pipeline_ready.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/dc/02_physics_weight_sweep/gnn/q_0p1__k_100__delta_10,2,14.547989196144044,0.03303063603239535,0.04073269842313084,0.06351212768231448,0.06812215286842747,0.6916254632302564,0.5344437015442925,0.6523300228087654,0.5737391419657836,0.6130345823872745,0.6130345823872745,0.05907133958054887,0.25*flow_rmse_nl_s + 0.75*kirchhoff_rms_per_internal_node_nl_s,conservation_prioritized,4,False,True,11,2,False,nan,conservation_prioritized,
q_0p1__k_100__delta_100,gnn,0.1,100.0,100.0,100.0,2,balanced,0.037365415898060535,0.021219607693818553,1.0839605610822867,0.06681947989499261,0.03364201871200064,0.12595467746047417,1.1314563652317644,1.938414953437257,-0.006578574888408184,14.235152244567871,4.60492494413218,8.518099076747895,-0.0015061282319948077,13.219980835914612,0.0030122564639896154,nan,nan,0.006786756867561445,0.009112983010709286,-0.036706258277634914,0.11344913489470351,0.10329639026676307,0.11923948844699532,-0.23702146112918854,0.14303208887577057,0.0,0.970144384709275,0.9754228591918945,0.788974404335022,1.1537668704986572,0.8167219877243042,1.1225624084472656,True,True,395.09067995200166,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/somite21_mosaic_cut_pipeline_ready.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/dc/02_physics_weight_sweep/gnn/q_0p1__k_100__delta_100,2,14.24173081945628,0.03303063603239535,0.04073269842313084,0.06351212768231448,0.06812215286842747,0.5628076800415588,0.7174260614976742,0.6014622754055876,0.6787714661336454,0.6401168707696165,0.6401168707696165,0.052092447896526575,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,balanced,7,False,True,15,14,False,nan,balanced,
q_0p1__k_10__delta_0p1,gnn,0.1,10.0,100.0,0.1,2,conservation_prioritized,0.037835016464254065,0.021349294784208446,1.0975835458927439,0.06712414781155039,0.03361410603764415,0.12845504418186937,1.122129624463175,1.947253286902532,-0.009332582354545593,13.60920238494873,4.747139647123632,8.482953779697418,-0.0012082946486771107,12.621362686157227,0.0024165892973542213,nan,nan,0.007276472295666159,0.010002709925174713,-0.014908821342519923,0.09187736784354006,0.07215246806344335,0.09307912588588482,-0.2630898952484131,0.11016467958688736,0.0,0.9892558368920932,1.0117764472961426,0.7686727643013,1.1164618730545044,0.8131828784942627,1.0996625185012818,True,True,314.14083752199076,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/somite21_mosaic_cut_pipeline_ready.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/dc/02_physics_weight_sweep/gnn/q_0p1__k_10__delta_0p1,2,13.618534967303276,0.03303063603239535,0.04073269842313084,0.06351212768231448,0.06812215286842747,0.6237784359729045,0.7835141855876573,0.6637123733765926,0.7435802481839691,0.7036463107802808,0.7036463107802808,0.05980186497472631,0.25*flow_rmse_nl_s + 0.75*kirchhoff_rms_per_internal_node_nl_s,conservation_prioritized,9,False,True,24,6,False,nan,conservation_prioritized,
q_0p1__k_10__delta_1,gnn,0.1,10.0,100.0,1.0,2,conservation_prioritized,0.03659317077384914,0.020736741494181577,1.061557939887946,0.06645982316173374,0.03326917337372445,0.12531946102590005,1.1330333372916446,1.9279814093427956,-0.0029886963311582804,15.280867576599121,4.695410535332764,9.184611811637879,-0.0014943481655791402,14.386922419071198,0.0029886963311582804,nan,nan,0.0067706969426452705,0.009096832945942879,-0.07326509759051537,0.1832961506378781,0.18401782206344355,0.19739618376151907,-0.2978264391422272,0.24579931795597076,0.0,0.9452744754893799,0.8567715287208557,0.7424302101135254,1.278643012046814,0.7561931252479553,1.202065348625183,True,True,394.8216457829694,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/somite21_mosaic_cut_pipeline_ready.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/dc/02_physics_weight_sweep/gnn/q_0p1__k_10__delta_1,2,15.28385627293028,0.03303063603239535,0.04073269842313084,0.06351212768231448,0.06812215286842747,0.46254296066713524,0.6394098427702186,0.506759681192906,0.5951931222444478,0.5509764017186769,0.5509764017186769,0.05899316006476259,0.25*flow_rmse_nl_s + 0.75*kirchhoff_rms_per_internal_node_nl_s,conservation_prioritized,5,False,True,7,21,False,nan,conservation_prioritized,
