run_name,model_family,lambda_q,lambda_k,lambda_b,lambda_delta,message_passing_layers,weighting_regime,flow_rmse_nl_s,flow_mae_nl_s,flow_nrmse_median,kirchhoff_rms_per_internal_node_nl_s,kirchhoff_mae_per_internal_node_nl_s,kirchhoff_p95_abs_nl_s,kirchhoff_max_abs_nl_s,kirchhoff_rms_normalized_median,pressure_min_pa,pressure_max_pa,pressure_range_pa,pressure_mean_pa,arterial_pressure_mean_pa,venous_pressure_mean_pa,arterial_pressure_spread_pa,venous_pressure_spread_pa,arterial_equality_residual_pa,venous_equality_residual_pa,boundary_residual_rms_pa,boundary_residual_max_pa,delta_mean,delta_std,delta_mean_abs,delta_rms,delta_min_observed,delta_max_observed,delta_saturation_fraction,conductance_ratio_mean,conductance_ratio_median,conductance_ratio_min,conductance_ratio_max,conductance_ratio_p05,conductance_ratio_p95,convergence_status,solver_success,runtime_seconds,graph_path,output_dir,flow_rmse_rank_scaled,kirchhoff_rms_rank_scaled,flow_rmse_p05,flow_rmse_p95,kirchhoff_rms_p05,kirchhoff_rms_p95,pareto_rank,is_pareto_front,dominated,n_dominating_runs,n_dominated_runs,score_flow_prioritized,score_conservation_prioritized,score_balanced,score_correction_regularized,selection_score,selection_score_formula,selection_score_regime,selected_representative,selection_rank_within_regime,selection_category,plot_label
poiseuille__q_0p1__k_0p1,poiseuille_baseline,0.1,0.1,100.0,nan,0,,0.0378660879072224,0.021207133034055352,1.0984849200095337,0.0686950886388699,0.03446374697776257,0.12974246378855478,1.140242305956718,1.9928258533970138,-0.00022439143504016101,13.67911148071289,13.67933587214793,4.710924052847898,8.514560847282409,-0.00011219571752008051,12.703474164009094,0.00022439143504016101,0.0009795427322387695,0.00022439143504016101,0.0007105826765412933,0.0009795427322387695,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,True,3.7877110429981258,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/somite21_mosaic_cut_pipeline_ready.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/dc/02_physics_weight_sweep/poiseuille/poiseuille__q_0p1__k_0p1,nan,nan,nan,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,nan,,,False,nan,,
poiseuille__q_0p1__k_1,poiseuille_baseline,0.1,1.0,100.0,nan,0,,0.048982406284851836,0.027361144039731708,1.420966295264612,0.03199843798703418,0.015454830481719898,0.05811395540678858,0.4974875220976893,0.9282659903695242,-0.00018468200869392604,13.785381317138672,13.785565999147366,4.818390561613977,8.706094152927399,-9.234100434696302e-05,12.82562643289566,0.00018468200869392604,0.0019020438194274902,0.00018468200869392604,0.0013512731284528563,0.0019020438194274902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,True,4.04006045096321,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/somite21_mosaic_cut_pipeline_ready.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/dc/02_physics_weight_sweep/poiseuille/poiseuille__q_0p1__k_1,nan,nan,nan,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,nan,,,False,nan,,
poiseuille__q_0p1__k_10,poiseuille_baseline,0.1,10.0,100.0,nan,0,,0.06464657808729131,0.032681198372634716,1.8753796624859025,0.011759027386103816,0.005522710424255623,0.018184575956039874,0.13280025137289014,0.34112618893356594,0.0,13.44844913482666,13.44844913482666,4.936462039315144,8.853094120025634,5.642585892928764e-05,12.421866536140442,0.00011285171785857528,0.00748598575592041,0.00011285171785857528,0.005293992739325721,0.00748598575592041,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,True,11.230782559956424,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/somite21_mosaic_cut_pipeline_ready.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/dc/02_physics_weight_sweep/poiseuille/poiseuille__q_0p1__k_10,nan,nan,nan,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,nan,,,False,nan,,
poiseuille__q_0p1__k_100,poiseuille_baseline,0.1,100.0,100.0,nan,0,,0.07772983413635769,0.03684220775962731,2.254921365070439,0.0046969381373345425,0.002457280364410009,0.007624820168154222,0.057884957677806215,0.1362568989625031,0.0,11.361889839172363,11.361889839172363,4.864181349882116,8.356409168243408,0.0004391402180772275,10.238159418106079,0.000878280436154455,0.055809617042541504,0.000878280436154455,0.03946824502660126,0.055809617042541504,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,True,3.680684890015982,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/somite21_mosaic_cut_pipeline_ready.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/dc/02_physics_weight_sweep/poiseuille/poiseuille__q_0p1__k_100,nan,nan,nan,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,nan,,,False,nan,,
poiseuille__q_100__k_0p1,poiseuille_baseline,100.0,0.1,100.0,nan,0,,0.016811075677984302,0.008236651052750482,0.48768473697760967,0.8636302131943419,0.34946876160485596,1.535321154065571,13.486862668332655,25.053677791670033,-0.042548831552267075,13.822310447692871,13.864859279245138,5.283970303729648,9.564688215255737,-0.021229777485132217,9.36462140083313,0.042459554970264435,0.3130791187286377,0.042459554970264435,0.2234069698914666,0.3130791187286377,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,True,3.9613883209531195,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/somite21_mosaic_cut_pipeline_ready.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/dc/02_physics_weight_sweep/poiseuille/poiseuille__q_100__k_0p1,nan,nan,nan,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,nan,,,False,nan,,
poiseuille__q_100__k_1,poiseuille_baseline,100.0,1.0,100.0,nan,0,,0.021683547074983964,0.011326631011577772,0.6290338081015119,0.42164910845092596,0.18500374907047912,0.8125325390816162,6.633308052145237,12.231926052241132,-0.1391438990831375,13.826589584350586,13.965733483433723,4.963433745615707,8.955093269348145,-0.05087188631296158,11.178645133972168,0.10174377262592316,0.31578993797302246,0.10174377262592316,0.2346008100936151,0.31578993797302246,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,True,11.998588102054782,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/somite21_mosaic_cut_pipeline_ready.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/dc/02_physics_weight_sweep/poiseuille/poiseuille__q_100__k_1,nan,nan,nan,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,nan,,,False,nan,,
poiseuille__q_100__k_10,poiseuille_baseline,100.0,10.0,100.0,nan,0,,0.030388607341235368,0.016329839660696316,0.8815652408093375,0.16356033522307245,0.07885584319354855,0.3196214587485376,1.731652039642373,4.744840876999604,-0.19149595499038696,13.546943664550781,13.738439619541168,4.679216189323031,8.519526906013489,-0.07475108653306961,12.338367104530334,0.14950217306613922,0.32675278186798096,0.14950217306613922,0.2540849072750703,0.32675278186798096,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,True,3.9858466419391334,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/somite21_mosaic_cut_pipeline_ready.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/dc/02_physics_weight_sweep/poiseuille/poiseuille__q_100__k_10,nan,nan,nan,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,nan,,,False,nan,,
poiseuille__q_100__k_100,poiseuille_baseline,100.0,100.0,100.0,nan,0,,0.03769068917100724,0.021135499122216708,1.0933966503368608,0.06857211884231688,0.03441142311285034,0.12979652346412765,1.1401657612833405,1.989258533016279,-0.1553114503622055,13.543049812316895,13.6983612626791,4.607800583062733,8.42434543132782,-0.07765572518110275,12.721516132354736,0.1553114503622055,0.3657228946685791,0.1553114503622055,0.2809580772093734,0.3657228946685791,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,True,3.6199755260022357,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/somite21_mosaic_cut_pipeline_ready.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/dc/02_physics_weight_sweep/poiseuille/poiseuille__q_100__k_100,nan,nan,nan,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,nan,,,False,nan,,
poiseuille__q_10__k_0p1,poiseuille_baseline,10.0,0.1,100.0,nan,0,,0.021851567039109503,0.011352105384773934,0.6339080216010597,0.42197888645573206,0.18544473243225337,0.8141219903085022,6.623198083727244,12.241492822542778,-0.048731595277786255,13.901906967163086,13.950638562440872,5.0146384406197635,8.995244941711427,-0.0056731500662863255,11.163029193878174,0.011346300132572651,0.06494402885437012,0.011346300132572651,0.04661794402660673,0.06494402885437012,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,True,13.055894778983202,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/somite21_mosaic_cut_pipeline_ready.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/dc/02_physics_weight_sweep/poiseuille/poiseuille__q_10__k_0p1,nan,nan,nan,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,nan,,,False,nan,,
poiseuille__q_10__k_1,poiseuille_baseline,10.0,1.0,100.0,nan,0,,0.030527790617558604,0.016378642602946483,0.8856029098321634,0.163675009937796,0.07902816761584903,0.319693783164959,1.7303029668791492,4.748167559310669,-0.06111196056008339,13.658610343933105,13.719722304493189,4.760985205602809,8.59280321598053,-0.009456618689000607,12.318326473236084,0.018913237378001213,0.0679929256439209,0.018913237378001213,0.04990364959467583,0.0679929256439209,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,True,3.996657804993447,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/somite21_mosaic_cut_pipeline_ready.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/dc/02_physics_weight_sweep/poiseuille/poiseuille__q_10__k_1,nan,nan,nan,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,nan,,,False,nan,,
