run_name,model_family,lambda_q,lambda_k,lambda_b,lambda_delta,message_passing_layers,weighting_regime,flow_rmse_nl_s,flow_mae_nl_s,flow_nrmse_median,kirchhoff_rms_per_internal_node_nl_s,kirchhoff_mae_per_internal_node_nl_s,kirchhoff_p95_abs_nl_s,kirchhoff_max_abs_nl_s,kirchhoff_rms_normalized_median,pressure_min_pa,pressure_max_pa,pressure_mean_pa,arterial_pressure_mean_pa,venous_pressure_mean_pa,arterial_pressure_spread_pa,venous_pressure_spread_pa,arterial_equality_residual_pa,venous_equality_residual_pa,boundary_residual_rms_pa,boundary_residual_max_pa,delta_mean,delta_std,delta_mean_abs,delta_rms,delta_min_observed,delta_max_observed,delta_saturation_fraction,conductance_ratio_mean,conductance_ratio_median,conductance_ratio_min,conductance_ratio_max,conductance_ratio_p05,conductance_ratio_p95,convergence_status,solver_success,runtime_seconds,graph_path,output_dir,boundary_role_constraint_count,pressure_range_pa,flow_rmse_p05,flow_rmse_p95,kirchhoff_rms_p05,kirchhoff_rms_p95,flow_rmse_rank_scaled,kirchhoff_rms_rank_scaled,score_flow_prioritized,score_conservation_prioritized,score_balanced,score_correction_regularized,selection_score,selection_score_formula,selection_score_regime,pareto_rank,is_pareto_front,dominated,n_dominating_runs,n_dominated_runs,selected_representative,selection_rank_within_regime,selection_category,plot_label
q_100__k_0p1__delta_0p1,gnn,100.0,0.1,100.0,0.1,2,flow_prioritized,0.02668280683570751,0.015731413218784258,0.7740609752020732,0.07059715726588561,0.03507393180879631,0.13028470311057438,1.1970640407740762,2.0480043473760943,-0.0006399122066795826,11.097200393676758,4.133782812180432,7.978950324058533,-0.0003199561033397913,9.930500507354736,0.0006399122066795826,nan,nan,0.004203325616871209,0.005909856408834457,-0.04816920648806325,0.40483890956471386,0.38069930417081604,0.4076945120445413,-0.49997469782829285,0.4999092221260071,0.262790322303772,1.0349433554909109,0.8606817126274109,0.6065459847450256,1.6485716104507446,0.606746518611908,1.6472092151641846,True,True,383.3756953899865,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/somite21_mosaic_cut_pipeline_ready.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/dc/02_physics_weight_sweep/gnn/q_100__k_0p1__delta_0p1,2,11.097840305883437,0.03303063603239535,0.04073269842313084,0.06351212768231448,0.06812215286842747,0.0,1.0,0.25,0.75,0.5,0.5,0.03766139444325203,0.75*flow_rmse_nl_s + 0.25*kirchhoff_rms_per_internal_node_nl_s,flow_prioritized,1,True,False,0,0,True,1,flow_prioritized,F1
q_100__k_0p1__delta_1,gnn,100.0,0.1,100.0,1.0,2,flow_prioritized,0.027160066946442622,0.015903231197851538,0.7879061613181865,0.06987234953548897,0.03461259825356101,0.13044121853619448,1.1907165791552599,2.0269778720851206,0.0,11.574036598205566,4.1864901716894565,8.170384945869445,0.00045595012488774955,10.2128164768219,0.0009119002497754991,nan,nan,0.004197081297846517,0.005865102168172598,-0.03842382512141992,0.3333267799469003,0.30124831729309715,0.33553410045289384,-0.4998343288898468,0.4989818036556244,0.05148611217737198,1.018114012906705,0.9030064940452576,0.6066311597824097,1.6470434665679932,0.6134426474571228,1.6263296365737914,True,True,384.72571139398497,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/somite21_mosaic_cut_pipeline_ready.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/dc/02_physics_weight_sweep/gnn/q_100__k_0p1__delta_1,2,11.574036598205566,0.03303063603239535,0.04073269842313084,0.06351212768231448,0.06812215286842747,0.0,1.0,0.25,0.75,0.5,0.5,0.037838137593704205,0.75*flow_rmse_nl_s + 0.25*kirchhoff_rms_per_internal_node_nl_s,flow_prioritized,1,True,False,0,0,True,2,flow_prioritized,F2
q_100__k_0p1__delta_10,gnn,100.0,0.1,100.0,10.0,2,flow_prioritized,0.029674592477984305,0.017759923828740486,0.8608518636612756,0.06563379671272844,0.032566745113781256,0.124723912838312,1.1568583547713618,1.9040186065313578,0.0,12.180143356323242,4.485572954964194,8.234601917266845,0.00022526535030920058,10.692599773406982,0.00045053070061840117,nan,nan,0.0038729545813682804,0.005458624102175236,0.02142284456865343,0.13091249959330709,0.07868351275717934,0.13265376292883774,-0.4985255002975464,0.49314847588539124,0.002923501655459404,1.030442808769112,1.0101444721221924,0.6074256896972656,1.6374636888504028,0.8511894106864929,1.2998321294784545,True,True,386.7742165029631,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/somite21_mosaic_cut_pipeline_ready.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/dc/02_physics_weight_sweep/gnn/q_100__k_0p1__delta_10,2,12.180143356323242,0.03303063603239535,0.04073269842313084,0.06351212768231448,0.06812215286842747,0.0,0.4602293793980054,0.11505734484950135,0.34517203454850404,0.2301146896990027,0.2301146896990027,0.03866439353667034,0.75*flow_rmse_nl_s + 0.25*kirchhoff_rms_per_internal_node_nl_s,flow_prioritized,1,True,False,0,41,True,3,flow_prioritized,F3
q_100__k_1__delta_0p1,gnn,100.0,1.0,100.0,0.1,2,flow_prioritized,0.033969179123796094,0.02017938487840606,0.985436655194461,0.06642221911587393,0.03349439685576291,0.12613136175700776,1.1347541829798136,1.9268905261913711,0.0,11.501157760620117,3.812095597003093,8.057740638256073,0.0011066518491134048,10.744366109371185,0.0022133036982268095,nan,nan,0.00499012726541188,0.006701046600937843,-0.0477665808286546,0.37049048482048236,0.3567311717265934,0.3735570178521317,-0.4839042127132416,0.41726917028427124,0.0,1.019086197248542,1.0227988958358765,0.6163722276687622,1.5178110599517822,0.6185543298721313,1.453436803817749,True,True,384.8293273790041,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/somite21_mosaic_cut_pipeline_ready.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/dc/02_physics_weight_sweep/gnn/q_100__k_1__delta_0p1,2,11.501157760620117,0.03303063603239535,0.04073269842313084,0.06351212768231448,0.06812215286842747,0.12185607487803243,0.6312528274955322,0.2492052630324074,0.5039036393411573,0.3765544511867823,0.3765544511867823,0.04208243912181555,0.75*flow_rmse_nl_s + 0.25*kirchhoff_rms_per_internal_node_nl_s,flow_prioritized,3,False,True,2,27,True,4,flow_prioritized,F4
q_100__k_0p1__delta_100,gnn,100.0,0.1,100.0,100.0,2,balanced,0.03286501078097169,0.019238012012966887,0.9534050316289018,0.06580741001586739,0.03312763632268981,0.12427842636291223,1.1454466932250829,1.9090550812756844,-0.0021289666183292866,13.437636375427246,4.6674426339445025,8.358677010536194,-0.0010644833091646433,12.061812043190002,0.0021289666183292866,nan,nan,0.006659751290840914,0.009174534119665623,0.002243051348099967,0.04137001575399703,0.015249045525056059,0.04143077941381486,-0.49622946977615356,0.4816187918186188,0.00016241676348727196,1.0030909636025696,0.9991883635520935,0.6088219285011292,1.6186926364898682,0.982705581188202,1.0473210573196412,True,True,386.7512110259995,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/somite21_mosaic_cut_pipeline_ready.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/dc/02_physics_weight_sweep/gnn/q_100__k_0p1__delta_100,2,13.439765342045575,0.03303063603239535,0.04073269842313084,0.06351212768231448,0.06812215286842747,0.0,0.497889326172685,0.12447233154317125,0.3734169946295137,0.2489446630863425,0.2489446630863425,0.04933621039841954,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,balanced,2,False,True,1,38,True,1,balanced,B1
q_10__k_0p1__delta_10,gnn,10.0,0.1,100.0,10.0,2,balanced,0.03530826130602688,0.020186941607202736,1.0242830654029318,0.06662949499194333,0.033322862161412004,0.12424186028939227,1.1367721000632436,1.9329035430285442,-0.0013398570008575916,13.21583366394043,4.70282487331793,8.402210254669189,-0.0006699285004287958,11.9009507894516,0.0013398570008575916,nan,nan,0.004541446733416332,0.00628126272931695,0.007077939354099345,0.04473262643491988,0.02493558248443697,0.04528912776005322,-0.4154338240623474,0.24636629223823547,0.0,1.0080912762190084,1.0071943998336792,0.6600539088249207,1.2793681621551514,0.9535063624382019,1.0659912109375,True,True,386.2602459890186,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/somite21_mosaic_cut_pipeline_ready.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/dc/02_physics_weight_sweep/gnn/q_10__k_0p1__delta_10,2,13.217173520941287,0.03303063603239535,0.04073269842313084,0.06351212768231448,0.06812215286842747,0.29571628455921006,0.6762148109341025,0.39084091615293315,0.5810901793403794,0.4859655477466563,0.4859655477466563,0.050968878148985104,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,balanced,4,False,True,5,22,True,2,balanced,B2
q_1__k_1__delta_0p1,gnn,1.0,1.0,100.0,0.1,2,balanced,0.03918321912105084,0.02253212683232103,1.1366945385898684,0.06346695622082588,0.03165294504157985,0.12291301602820176,1.073512264325449,1.8411591527041506,-0.0020988781470805407,14.48299789428711,4.628744040873677,9.001334056854247,-0.0005615998525172472,13.265526533126831,0.0011231997050344944,nan,nan,0.007048049547627273,0.009903959929943085,-0.04788049580946911,0.22762532266738297,0.19954979500064982,0.2326065979253192,-0.4560692012310028,0.31851792335510254,0.0,0.9779236690359532,0.9656190872192383,0.6337699890136719,1.3750882148742676,0.6660616159439087,1.3255752086639405,True,True,392.513390342996,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/somite21_mosaic_cut_pipeline_ready.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/dc/02_physics_weight_sweep/gnn/q_1__k_1__delta_0p1,2,14.48509677243419,0.03303063603239535,0.04073269842313084,0.06351212768231448,0.06812215286842747,0.7988228057015212,0.0,0.599117104276141,0.1997057014253803,0.3994114028507606,0.3994114028507606,0.05132508767093836,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,balanced,1,True,False,0,8,True,3,balanced,B3
q_0p1__k_0p1__delta_0p1,gnn,0.1,0.1,100.0,0.1,2,balanced,0.03682345795777,0.021003468168310523,1.0682385085125246,0.06598185303736133,0.03300696001229012,0.12668649359811116,1.113203387977102,1.9141156259240117,-0.009015852585434914,12.550688743591309,4.244715479263286,7.887305459976196,2.7075851903646253e-05,11.645402431488037,5.4151703807292506e-05,nan,nan,0.0060832383794950625,0.008602827787399292,0.01795175786812456,0.12843995379296952,0.1118458504241953,0.12968842408209022,-0.2915315628051758,0.23472832143306732,0.0,1.026361744851479,1.04814875125885,0.7471184730529785,1.264565110206604,0.8079925775527954,1.2121174335479736,True,True,385.1027752759983,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/somite21_mosaic_cut_pipeline_ready.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/dc/02_physics_weight_sweep/gnn/q_0p1__k_0p1__delta_0p1,2,12.559704596176744,0.03303063603239535,0.04073269842313084,0.06351212768231448,0.06812215286842747,0.49244237880192776,0.5357292542536476,0.5032640976648577,0.5249075353907177,0.5140858165277877,0.5140858165277877,0.05140265549756566,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,balanced,4,False,True,5,27,True,4,balanced,B4
q_1__k_100__delta_0p1,gnn,1.0,100.0,100.0,0.1,2,conservation_prioritized,0.04234170946073873,0.024180862194214087,1.2283214850186588,0.060166978989521405,0.029817787187794126,0.11829189429206355,1.0258201623217222,1.7454277099988862,-0.021670153364539146,12.559000015258789,4.114651611962576,7.7240837931633,-0.0005575225222855806,11.659455478191376,0.0011150450445711613,nan,nan,0.006961373895120112,0.009781519882380962,0.08081752362815862,0.24470812793623825,0.23439182304100004,0.25770824589726904,-0.4068286716938019,0.34922027587890625,0.0,1.1152090951764044,1.170522689819336,0.6657581925392151,1.4179614782333374,0.699965500831604,1.40000262260437,True,True,387.9946562050027,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/somite21_mosaic_cut_pipeline_ready.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/dc/02_physics_weight_sweep/gnn/q_1__k_100__delta_0p1,2,12.580670168623328,0.03303063603239535,0.04073269842313084,0.06351212768231448,0.06812215286842747,1.0,0.0,0.75,0.25,0.5,0.5,0.05571066160732574,0.25*flow_rmse_nl_s + 0.75*kirchhoff_rms_per_internal_node_nl_s,conservation_prioritized,1,True,False,0,0,True,1,conservation_prioritized,K1
q_1__k_100__delta_10,gnn,1.0,100.0,100.0,10.0,2,conservation_prioritized,0.04414567766553655,0.024955785770955977,1.280654112408168,0.05973803501170709,0.029477682069081784,0.11734791198654548,1.0054945157739192,1.732984161768807,-0.0010306789772585034,12.91708755493164,4.323495538011702,8.054595894813538,-0.0005153394886292517,11.747004985809326,0.0010306789772585034,nan,nan,0.0068428332495051895,0.009622184559702873,0.05914134331275298,0.2962074508479586,0.2836236468242524,0.3020538899380103,-0.3972468078136444,0.37660813331604004,0.0,1.1064153699416395,1.1760003566741943,0.6721681356430054,1.4573330879211426,0.6915768265724183,1.442342495918274,True,True,389.0656986190006,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/somite21_mosaic_cut_pipeline_ready.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/somite21/dc/02_physics_weight_sweep/gnn/q_1__k_100__delta_10,2,12.9181182339089,0.03303063603239535,0.04073269842313084,0.06351212768231448,0.06812215286842747,1.0,0.0,0.75,0.25,0.5,0.5,0.055839945675164454,0.25*flow_rmse_nl_s + 0.75*kirchhoff_rms_per_internal_node_nl_s,conservation_prioritized,1,True,False,0,0,True,2,conservation_prioritized,K2
