model_family,model_key,representative_label,constraint_left,constraint_right,pressure_pearson_aligned,pressure_spearman_aligned,pressure_rmse_aligned_pa,pressure_mae_aligned_pa
gnn,q_100__k_0p1__delta_0p1,F1,equal_av,equal_drop,0.9931018286712633,0.9941661938182044,0.36335932254441733,0.33370628981305367
gnn,q_100__k_0p1__delta_0p1,F1,equal_av,fixed_drop_10pa,0.9753044561157501,0.9822404707533241,0.7798729439908768,0.5612365090493127
gnn,q_100__k_0p1__delta_0p1,F1,equal_av,gauge_only,0.9963132870063319,0.9973997878010545,0.2593692372804908,0.1839967713443503
gnn,q_100__k_0p1__delta_0p1,F1,equal_drop,fixed_drop_10pa,0.969580262535019,0.9777674848380351,0.9912164133114107,0.8540272446405116
gnn,q_100__k_0p1__delta_0p1,F1,equal_drop,gauge_only,0.9880332722732894,0.9885339301726561,0.5054518587934446,0.4669348591577788
gnn,q_100__k_0p1__delta_0p1,F1,fixed_drop_10pa,gauge_only,0.9755789517186834,0.9818419989450418,0.6553893759132764,0.5036124257279515
poiseuille_baseline,100.0|0.1,,equal_av,equal_drop,0.9983109159317379,0.9978025267128627,0.31100541356100225,0.2648454075046407
poiseuille_baseline,100.0|0.1,,equal_av,fixed_drop_10pa,0.985888614600909,0.9827830645714754,0.7916886247378109,0.615437689786183
poiseuille_baseline,100.0|0.1,,equal_av,gauge_only,0.9914479136295778,0.9893851053196845,0.6864685722657663,0.5846563850389639
poiseuille_baseline,100.0|0.1,,equal_drop,fixed_drop_10pa,0.9915258723675495,0.9898447894892782,0.524312040474922,0.3505922822815422
poiseuille_baseline,100.0|0.1,,equal_drop,gauge_only,0.9821947245936092,0.9782755457694999,0.9974484883962197,0.8495017925436045
poiseuille_baseline,100.0|0.1,,fixed_drop_10pa,gauge_only,0.9611684451809095,0.9533704972078921,1.444423753610936,1.2000940748251467
